name,lon,lat,tags-0,tags-1,tags-2,tags-3
Parc Vinet,-73.575756,45.484006,,kids pool,,
Parc Raymond,-73.603119,45.428095,open swim,outdoor,,
Parc Ferland,-73.597723,45.596487,open swim,outdoor,,
Parc De L’Ukraine,-73.582448,45.555187,,kids pool,,
Bain Émard,-73.589466,45.457801,open swim,indoor,,
Édouard-Montpetit,-73.537388,45.575583,open swim,indoor,,
Parc Henri-Bourassa,-73.6224,45.615773,,kids pool,,
Centre Rosemont,-73.59587,45.539952,open swim,indoor,,
Parc Jean-Amyot,-73.539669,45.575987,,kids pool,,
Parc Bocage,-73.551844,45.592584,,kids pool,,
Parc Joseph-Paré,-73.571457,45.574865,,kids pool,,
De la Louisiane,-73.572333,45.568323,,kids pool,,
Parc de Kent,-73.632063,45.503958,open swim,outdoor,,
Parc de la Confédération,-73.638357,45.471961,open swim,outdoor,,
Centre sportif de Notre-Dame-de-Grâce,-73.632704,45.466479,open swim,indoor,,
Parc Tardif,-73.616879,45.618325,,kids pool,,
Natatorium de Verdun,-73.574935,45.443783,open swim,outdoor,kids pool,
Parc Joseph-Paré,-73.571457,45.574865,open swim,outdoor,,
Parc Beaubien,-73.589951,45.553589,,kids pool,,
Parc De Gaspé,-73.609059,45.533227,,kids pool,,
Parc Rosemary-Brown,-73.648047,45.489919,,kids pool,,
Parc Saint-Donat,-73.536163,45.582566,,kids pool,,
Parc Trenholme,-73.631616,45.460685,,kids pool,,
Parc curé Albert-Arnold,-73.595628,45.449707,,kids pool,,
Parc Riverside,-73.613211,45.420058,open swim,outdoor,,
Parc Dixie,-73.718029,45.44377,open swim,outdoor,,
Parc Bélair,-73.597471,45.554825,,kids pool,,
Parc Lucie-Bruneau,-73.583684,45.603013,open swim,outdoor,kids pool,
Parc Loyola,-73.645965,45.461477,,kids pool,,
Parc des Roseraies,-73.555113,45.593366,open swim,outdoor,,
Bain St-Denis,-73.611903,45.540369,open swim,outdoor,,
Parc G. Garibaldi,-73.57155,45.58722,open swim,outdoor,,
Parc Turin,-73.610671,45.545391,,kids pool,,
Patro Le Prévost,-73.613562,45.543715,open swim,indoor,,
Parc De Normanville,-73.615768,45.545683,,kids pool,,
Parc Roger-Rousseau,-73.549995,45.616818,open swim,outdoor,kids pool,
Parc François-Perrault,-73.601059,45.562587,open swim,outdoor,,
Parc Leroux,-73.595461,45.434301,open swim,outdoor,,
Parc Ladauversière,-73.583268,45.581507,open swim,outdoor,kids pool,
Parc François-Perrault,-73.599623,45.562003,,kids pool,,
Parc Hébert,-73.592672,45.572879,open swim,outdoor,,
Parc Nicolas-Tillemont,-73.612175,45.55491,,kids pool,,
Parc Jarry,-73.627424,45.535422,,kids pool,,
Parc Talcy,-73.560024,45.607185,,kids pool,,
Joseph-Charbonneau,-73.623195,45.551048,open swim,indoor,,
Parc André-Laurendeau,-73.569751,45.604282,,kids pool,,
Parc Verdelle,-73.54959,45.608413,open swim,outdoor,,
Parc Verdelle,-73.54959,45.608413,,kids pool,,
Georges-Vernot,-73.614508,45.568459,open swim,indoor,,
Parc Lefebvre,-73.635418,45.435467,open swim,outdoor,,
Parc Sainte-Yvette,-73.625952,45.56977,,kids pool,,
Parc Chamberland,-73.689901,45.502986,open swim,outdoor,,
Parc Chamberland,-73.688812,45.502583,,kids pool,,
Parc Campbell-Centre,-73.574202,45.489136,,kids pool,,
Parc St-Laurent,-73.687215,45.526602,open swim,outdoor,kids pool,
Parc Decelles,-73.678404,45.513433,open swim,outdoor,kids pool,
Parc John-F-Kennedy,-73.615936,45.521396,open swim,outdoor,,
Parc John-F.-Kennedy,-73.615936,45.521396,,kids pool,,
Parc Sainte-Lucie,-73.626772,45.575708,open swim,outdoor,kids pool,
Parc Saint-Victor,-73.517731,45.607496,,kids pool,,
Parc L.-O.-Taillon,-73.511217,45.605967,open swim,outdoor,,
Pataugeoire henri-Julien,-73.648544,45.547238,,kids pool,,
Bain Lévesque,-73.577899,45.526243,open swim,indoor,,
Pataugeoire St-Paul de la Croix,-73.651628,45.560821,,kids pool,,
Parc Georges-Saint-Pierre,-73.607669,45.468656,,kids pool,,
Parc de la Confédération,-73.638357,45.471961,,kids pool,,
Piscine Émile-Legault,-73.703438,45.506094,open swim,indoor,,
Piscine Jonh F. Kennedy,-73.603628,45.55975,open swim,indoor,,
